Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1911569632,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,76.08,,7882,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/DPBCKBDHD,
S1911569627,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,72.82,,12719,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/DQCXJKBCV,
S1911569620,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,68.40,,23132,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/BFAHWLKUF,
S1911569615,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,80.12,,4135,95808,Tournament,0.05,0.15,https://www.fanduel.com/entry/BGCCVUIPX,
S1911569614,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,78.22,,5929,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/ACRLAWDEJ,
S1911569612,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,85.32,,1411,95808,Tournament,0.05,0.20,https://www.fanduel.com/entry/ADTGAFBAB,
S1911569608,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,73.72,,11458,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/AANVCEHMZ,
S1911569603,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,69.72,,19258,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/ACDNOERGN,
S1911569600,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,89.82,,447,95808,Tournament,0.05,0.30,https://www.fanduel.com/entry/AGYQYFUND,
S1911569592,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,83.30,,1973,95808,Tournament,0.05,0.17,https://www.fanduel.com/entry/AIALXOSIV,
S1911569587,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,58.70,,54686,95808,Tournament,0.05,0,https://www.fanduel.com/entry/AIOJKGEGR,
S1911569583,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,69.10,,21412,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/AFIYMFKTP,
S1911569581,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,65.22,,33306,95808,Tournament,0.05,0,https://www.fanduel.com/entry/AFWVYWWRL,
S1911569579,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,78.80,,5323,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/AGKTLOIPH,
S1911569576,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,83.42,,1905,95808,Tournament,0.05,0.20,https://www.fanduel.com/entry/ALFWVPLVX,
S1911569572,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,63.80,,38015,95808,Tournament,0.05,0,https://www.fanduel.com/entry/ALTUIGXTT,
S1911569568,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,53.40,,74184,95808,Tournament,0.05,0,https://www.fanduel.com/entry/AMVPHPVPL,
S1911569565,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,73.50,,11739,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/AJCGWXQEN,
S1911569562,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,68.30,,23423,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/AJQEJPCCJ,
S1911569501,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,63.10,,40048,95808,Tournament,0.05,0,https://www.fanduel.com/entry/AOZFGHRGV,
S1911569498,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,78,,6250,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/CCADVIDFP,
S1911569494,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,83.28,,2039,95808,Tournament,0.05,0.15,https://www.fanduel.com/entry/CCOBHZPDL,
S1911569486,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,87.78,,729,95808,Tournament,0.05,0.25,https://www.fanduel.com/entry/BZWNWQHOF,
S1911569481,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,73.58,,11663,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/CAKLJHTMB,
S1911569478,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,85.88,,1011,95808,Tournament,0.05,0.20,https://www.fanduel.com/entry/CAYIVZFJX,
S1911569469,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,76.18,,7601,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/CGVHFJGMF,
S1911569465,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,78.08,,6121,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/CHJESASKB,
S1911569461,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,71.68,,14617,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/CEDTTZYWZ,
S1911569455,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,63.18,,39742,95808,Tournament,0.05,0,https://www.fanduel.com/entry/CERRGRKUV,
S1911569452,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,72.88,,12674,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/CFFOTIWSR,
S1911569449,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,81.38,,3010,95808,Tournament,0.05,0.15,https://www.fanduel.com/entry/CFTMGAIQN,
S1911569443,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,67.68,,25482,95808,Tournament,0.05,0,https://www.fanduel.com/entry/CLQKPKJSV,
S1911569440,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,77.38,,6785,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/CIKZRJQFT,
S1911569435,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,68.52,,22562,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/CJMUQSOBL,
S1911569432,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,66.62,,27987,95808,Tournament,0.05,0,https://www.fanduel.com/entry/COVVNLDFX,
S1911569423,nfl,2019/12/08,$4K Sun NFL Pooch Punt,$60k,69.88,,18839,95808,Tournament,0.05,0.10,https://www.fanduel.com/entry/CPJTACPDT,
